Age,Gender,Engineer,MBA,Work Exp,Salary,Distance,license,Transport
28,Male,0,0,4,14.3,3.2,0,Public Transport
23,Female,1,0,4,8.3,3.3,0,Public Transport
29,Male,1,0,7,13.4,4.1,0,Public Transport
28,Female,1,1,5,13.4,4.5,0,Public Transport
27,Male,1,0,4,13.4,4.6,0,Public Transport
26,Male,1,0,4,12.3,4.8,1,Public Transport
28,Male,1,0,5,14.4,5.1,0,2Wheeler
26,Female,1,0,3,10.5,5.1,0,Public Transport
22,Male,1,0,1,7.5,5.1,0,Public Transport
27,Male,1,0,4,13.5,5.2,0,Public Transport
25,Female,1,0,4,11.5,5.2,0,Public Transport
27,Male,1,0,4,13.5,5.3,1,Public Transport
24,Male,1,0,2,8.5,5.4,0,Public Transport
27,Male,1,0,4,13.4,5.5,1,Public Transport
32,Male,1,0,9,15.5,5.5,0,Public Transport
25,Male,1,1,4,11.5,5.6,0,Public Transport
34,Male,1,0,13,16.5,5.9,0,Public Transport
26,Female,1,0,4,12.3,5.9,0,Public Transport
23,Male,1,0,2,8.5,6.1,0,Public Transport
23,Male,0,0,2,8.6,6.1,0,Public Transport
26,Male,1,0,5,11.4,6.1,0,Public Transport
24,Male,1,0,6,10.6,6.1,0,2Wheeler
27,Female,1,0,9,15.5,6.1,0,2Wheeler
30,Male,0,0,8,14.6,6.1,0,Public Transport
24,Male,0,0,2,8.5,6.2,0,Public Transport
26,Female,0,0,3,9.5,6.2,0,Public Transport
28,Male,1,1,7,13.6,6.3,0,Public Transport
25,Male,0,0,1,7.6,6.3,0,2Wheeler
26,Male,0,0,2,8.5,6.3,1,Public Transport
30,Female,1,0,8,14.6,6.3,0,Public Transport
26,Female,0,0,3,9.5,6.3,0,Public Transport
24,Male,1,1,2,8.6,6.4,0,Public Transport
27,Male,1,0,7,16.6,6.4,0,Public Transport
27,Female,1,0,5,12.5,6.4,0,Public Transport
30,Female,1,0,8,14.6,6.5,0,Public Transport
27,Male,1,0,6,12.6,6.5,0,Public Transport
25,Male,0,0,2,8.6,6.7,1,Public Transport
25,Female,0,0,3,9.6,6.7,0,2Wheeler
26,Male,0,0,3,9.5,6.8,0,Public Transport
22,Male,1,0,3,8.4,6.8,0,Public Transport
28,Male,1,0,6,13.6,6.9,1,Public Transport
25,Female,1,0,4,11.5,7,0,Public Transport
20,Male,1,0,2,8.5,7,0,Public Transport
25,Male,1,0,3,10.5,7.1,0,Public Transport
33,Male,0,0,13,36.6,7.1,1,Public Transport
23,Female,1,1,4,8.4,7.1,0,Public Transport
21,Male,0,0,3,9.5,7.1,0,2Wheeler
30,Male,1,0,8,14.6,7.1,0,Public Transport
28,Female,0,1,5,14.6,7.2,0,Public Transport
23,Female,1,1,1,7.5,7.2,0,Public Transport
23,Male,1,1,3,11.7,7.2,0,2Wheeler
30,Female,1,0,8,14.4,7.2,0,Public Transport
30,Male,0,1,7,14.4,7.3,0,Public Transport
23,Male,0,0,0,6.5,7.3,0,2Wheeler
31,Male,0,0,9,15.6,7.3,0,Public Transport
28,Female,1,0,9,21.7,7.3,0,Public Transport
26,Male,1,0,4,12.5,7.4,0,Public Transport
23,Female,1,0,0,7.7,7.4,0,Public Transport
25,Male,1,0,2,8.6,7.4,0,Public Transport
24,Male,1,0,4,8.5,7.5,0,2Wheeler
28,Male,1,0,6,13.7,7.5,1,2Wheeler
26,Male,0,0,4,12.6,7.5,0,2Wheeler
23,Male,1,0,1,7.5,7.5,0,Public Transport
28,Female,1,0,5,13.6,7.5,0,Public Transport
22,Female,1,0,0,6.5,7.6,0,Public Transport
29,Male,1,0,5,15.4,7.6,1,Public Transport
31,Male,1,0,9,15.6,7.6,0,Public Transport
24,Male,0,0,2,8.7,7.6,0,Public Transport
29,Male,1,0,6,14.6,7.6,0,Public Transport
26,Male,1,1,4,12.4,7.6,0,Public Transport
21,Male,0,1,3,10.6,7.7,0,2Wheeler
24,Male,1,1,1,8.5,7.7,0,Public Transport
29,Female,0,0,7,14.6,7.7,0,Public Transport
28,Male,1,0,5,13.6,7.9,0,Public Transport
27,Male,0,0,3,9.5,7.9,1,Public Transport
20,Female,0,1,1,8.5,7.9,0,Public Transport
24,Male,1,0,2,8.5,8,0,Public Transport
25,Male,1,0,3,10.6,8.1,0,Public Transport
21,Female,1,0,3,9.6,8.1,0,Public Transport
26,Male,1,1,8,21.6,8.1,1,Public Transport
22,Female,1,0,2,11.7,8.1,0,Public Transport
29,Male,0,0,7,14.6,8.1,0,Public Transport
19,Female,1,0,1,7.5,8.1,0,Public Transport
22,Female,1,0,2,8.5,8.1,0,2Wheeler
30,Female,1,0,8,14.6,8.1,0,Public Transport
29,Male,1,0,6,14.7,8.1,0,Public Transport
27,Male,0,0,6,12.6,8.1,0,Public Transport
27,Female,1,0,4,13.8,8.1,0,Public Transport
27,Female,0,0,4,13.6,8.2,0,Public Transport
27,Female,0,1,4,13.6,8.2,0,Public Transport
31,Female,0,0,9,14.6,8.2,0,Public Transport
20,Male,0,1,2,8.8,8.3,0,Public Transport
25,Male,1,0,4,11.6,8.3,0,Public Transport
24,Male,1,1,6,10.6,8.4,1,Public Transport
32,Male,1,0,11,14.7,8.4,0,Public Transport
25,Male,1,0,3,9.8,8.4,0,Public Transport
32,Male,1,0,10,15.7,8.4,0,Public Transport
24,Male,0,0,2,8.7,8.4,0,Public Transport
31,Male,1,0,10,14.8,8.4,0,Public Transport
33,Male,1,0,11,15.6,8.5,0,Public Transport
30,Female,1,0,8,14.7,8.5,0,Public Transport
24,Male,0,1,2,8.5,8.5,1,Public Transport
24,Male,1,0,2,8.5,8.5,0,Public Transport
28,Male,1,0,4,14.6,8.6,0,Public Transport
23,Male,0,0,2,8.8,8.6,0,Public Transport
28,Female,0,0,6,13.6,8.6,0,Public Transport
30,Male,1,0,7,15.6,8.6,1,Public Transport
28,Male,0,0,6,13.8,8.6,0,Public Transport
20,Male,1,0,2,8.8,8.7,1,Public Transport
24,Male,1,0,6,12.7,8.7,0,2Wheeler
27,Male,1,1,5,13.5,8.8,0,Public Transport
26,Male,1,0,5,12.8,8.8,0,Public Transport
25,Female,1,0,3,10.6,8.8,0,Public Transport
25,Male,1,0,7,17.8,8.8,0,Public Transport
